Source,Relation,Target,Weight
wazeers and other hereditary officers,REPRESENTED A RULING CLASS WITHIN,local areas and clans,1
raja,SUBDUED BY,earlier political structures,1
wazeers,HAD NOT TOTALLY BEEN DESTROYED,power,1
regent appointed during the minority of raja shamshere singh,DESIRED,revenue settlement,1
the british,INTERVENE,to streamline the revenue administration of the state,1
bushahr,BEGAN,to be involved with the british,1
bushahr,WAS,the most important hill state on the river sutlej,1
bushahr,STRADDLED,the passes into tibet that went through the valley of this river,1
the sikh army,MADE,predatory raids into bushahr territory,1
the sikh army,DISRUPTED,the traditional trade with tibet and ladakh,1
captain cunningham,WAS SENT,to gather information and establish contact with the generals of the sikh army,1
captain cunningham,PARTLY SUCCESSFUL,in his military mission,1
captain cunningham,BROUGHT TO LIGHT,the nature of the trans-himalayan trade and the relations of the different political powers in the region,1
the british,PERSONALLY INTERVENED,to start work on a road connecting the plains of punjab to the borders of tibet,1
labour,WAS REQUISITIONED,for carrying the baggage of the british,1
regions,BE POPULATED,sparsely,1
villagers,FIND IRKSOME,requisitioning of labour,1
british,FIND DIFFICULT,requisitioning of labour,1
governor-general,GO TO,kinnaur,1
governor-general,GET STRANDED,trandee,1
regent,BE APPOINTED,by the british,1
wazeer mansookh das,BE MADE SINGLE AUTHORITY,under which the entire administration functioned,1
functionaries of the state,COMPLAIN AGAINST,the arrangement,1
mansookh das,DEMAND PROPER ACCOUNTS FROM,other wazeers,1
superintendent of hill states,PUT BLAME ON,inability of mansookh das and intrigue of queen mother and other wazeers,1
board of administration of punjab,PUT BLAME ON,inability of superintendent to control and supervise affairs of bushahr,1
governor-general,PUT BLAME ON,'imbecile' regent and 'rude' character of people of bushahr,1
british,AGREE THAT ROOT OF ALL PROBLEMS WAS,cumbersome system of administration,1
british,DEPUTE,sham lal to settle revenues of hill state of bushahr,1
the “dhaoo” party,HAVE STRENGTH,in their numbers,1
the raja,PRESENCE,of the superintendent hill states,1
the raja,COUNTENANCE,of the superintendent hill states,1
each individual,PERSONAL WEIGHT AND INFLUENCE,attaching to each,1
masses of rude peasants,REPRESENT,them as “moofsids” or rebels,1
local officials,LOOK FORWARD,to the advent of a british force,1
nawur peasantry,GET CALLED TO ARMS,and on hearing of the destruction,1
the raja,GIVE ORDER,to burn and plunder the entire village,1
jooalla das,HAS GONE TO PETITION,the governor general and the lieutenant governor,1
government,DEPUTISE,me to visit bussahir,1
rajah,DESERT,"his officials, and go over to the popular side",1
the raja,ADVOCATE,the cause of the people,1
the “dhaoo” party,LOSE HEART,and flee precipitately,1
some,COME TO,the british pergunnah of kot khaee,1
others,CROSS,into the kooloo district,1
barnes,SET UP COURT,at a place called bagee,1
peasants,DEMANDED,doom,1
wazeers,RESPONSIBLE FOR THE FUTURE GOVERNMENT OF THE COUNTRY,raja,1
"purrus ram, vakeel",CONDIGN PUNISHMENT FOR,rapacity and corruption,1
barnes,CONCLUSION THAT THE NEW SYSTEM OF REVENUE ASSESSMENT AND COLLECTION,was unsuited to the conditions prevailing in bushahr,1
local economy,HISTORICALLY BEEN CASHLESS,none,1
new system,CAUSED CHAOS IN THE WORKING OF THE ENTIRE ADMINISTRATION,none,1
peasants,HAD SUCCESS WITH THEIR OTHER DEMANDS,none,1
scrutiny of accounts,DEMAND,none,1
wazeers,SELECTION OF THREE WAZEERS WHO WOULD BE FULLY RESPONSIBLE FOR ADMINISTRATION,none,1
raja's mother,EXCLUSION FROM THE WORKING OF THE ADMINISTRATION,none,1
"purrus ram, vakeel",PUNISHMENT FOR EMBEZZLING PUBLIC FUNDS,none,1
commissioner,REFUSAL TO HAND OVER OFFICIALS ACCUSED BY THE REBELS OF EMBEZZLING PUBLIC FUNDS,none,1
younghusband,DETACHMENT,sutlej,1
barnes,APPOINT,wazeers,1
purrus ram,PROVOCATION,rebellion,1
peasants,PROVIDE,poorzee,1
state officials and british,ATTEST,demands,1
barnes,EXTEND,civilising influence of british rule,1
wazeers,COLLECT REVENUE,peasants,1
each wazeer,DEPOSIT,state's treasury,1
wazeers,GET SIGNATURES,concerned officials and raja,1
suket rebellion,OCCURRED,1877–78,1
british control,ESTABLISHED,centrality over politics of region,1
barnes,INSTITUTIONALIZED,fundamental changes in polity and economy of bushahr,1
sutlej river,DRAINED,suket state,1
sen dynasty of gaur,ORIGINATED FROM,ruling dynasty of suket,1
mandi,WAS ONCE PART OF,suket,1
balh area,WAS AGRICULTURALLY RICH IN,well-irrigated plains yielding two crops annually,1
pahari tehsils,BORDERED WITH,kullu and mandi,1
balh,INCREASED IMPORTANCE,since the new simla-mandi-kangra road passed through it,1
raja ugar sen,RULED,suket,1
ugar sen,ASCENDED THRONE,1838,1
tika ruder sen,DISTRUSTED,his father's motives,1
ugar sen's other wives' brothers,DEPRIVED HIM OF HIS THRONE,fear,1
raja ugar sen,HAD PROBLEMS WITH,relations with his heir apparent,1
tika ruder sen,TRIED TO CONTROL,state's administration,1
raja ugar sen and tika ruder sen,HAD FREQUENT FRICTION,between the father and son,1
tika ruder sen,CONSPIRED WITH,state officials to remove his father from the throne,1
british government,GAVE SANCTION,to ascend the throne,1
raja ugar sen,WAS APPOINTED RAJA,1876 under orders from the punjab government,1
the commissioner in jullundhar,CONSIDERED,tika ruder sen a 'centre of intrigue' in the politics of suket,1
raja ugar sen,REFUSED TO FOLLOW,rules and customs that dictate practice at the death of one's father,1
ram ditta mal,TO ASSESS,and collect all the revenue and other cesses of the state,1
"foreign department, political branch-a",HAD BEEN IMPRISONED,kapurthala state for defrauding it of a few thousand rupees,1
ruder sen,WAS ANGRY AT,state officials who served under his father and the other subjects,1
ram ditta mal,BEHAVED LIKE,"mughal ijaradar, or rent contractor",1
revenue,WAS CHARGED AT HIGHER THAN THE NORM RATES,by ram ditta mal,1
the personnel,IMPOSING,these new rules,1
the raja,ELICITED,a sullen response,1
petitioners,REFERRED,ram ditta mal,1
ram ditta mal,TREATED,petioners with great severity and cruelty,1
the british,FOUND,an embarrassingly large number of people in the state jail,1
the governor-general,REMARKED,on it,1
one measure,BEING,to impose a fine of two annas to the rupee,1
the raja,SUMMONS,nearly sixty peasant families,1
those against whom ram ditta mal wanted to press charges,RELATIVES,were taken into custody,1
ram ditta mal's newly appointed tehsildar,ABDUCTED,the wife of a peasant,1
representatives,SUMMONED,royal order,1
men,ACCOMPANY,baned,1
peasants,REBELLED,administration of ram ditta mal and his associates,1
ditto,MOBILISER,peasant opinion,1
party,COLLECTING,those who had been summoned and those who had been elected to accompany them,1
armed force,DISPATCHED,baned,1
peasantry,ROSE,all sides,1
outsiders,SEIZED,imprisoned,1
body of men,MARCHING,baned,1
commissioner,HASTENED,from jullundhar,1
british officials,PROHIBITED,raja from firing,1
levies,CAME,to help put down the rebellion and secure ‘order’ in the state,1
rebel peasants,SEALED,suket borders,1
british officials,HELPED,raja end the tyranny in suket,1
the raja,HAD,locked himself inside his palace,1
the rebel peasants,CRAVED,an interview,1
the british sources,REPORTED,no case of instant justice,1
"suket, peasants and nobles",WAITING,for the british to come,1
the rebels,GAVE THEMSELVES UP,to the pacifying force,1
the raja of suket,REFUSED,to come out of his palace,1
the commissioner,ORGANISED,a court,1
"ditto, the main instigator",WAS SENTENCED TO,five years imprisonment,1
the rest were given,SENTENCES,lesser sentences,1
the entire area that had rebelled,WAS FINED,"rs 10,000",1
the raja of suket,FELT,that with such light sentences his honour had suffered an irreparable loss,1
ruder sen,FELT,"that if a raja's relation with his subjects was to be decided by somebody outside the equation, then the honour of the raja was compromised",1
orders,PASSED,sentences,1
raja,COULD BE PERSUADED TO GRANT,amnesty,1
state of suket,WAS A FEUDATORY OF,british crown,1
peasants,REALISED THE CENTRAL ROLE OF,british in affairs of suket,1
raja,WAS EITHER UNWILLING TO GRANT OR WAS INNOCENT OF,changes in nature of hill state,1
peasant rebels,GOT A RELATIVELY FAIR DEAL,"with ram ditta mal being dismissed, raja being deposed and later even sentences given by commissioner being reduced to few months by governor-general himself",1
suket rebellion,DEMONSTRATED THE RADICAL CURTAILMENT OF,arbitrary power exercised by local political institutions by fixed rules laid down by british,1
peasantry,BEGAN TO INVITE STRONGER AND MORE SEVERE RESPONSE LEADING TO FAILURE TO GET REDRESS,traditional weapon of dumh,1
the hill state of mandi,LAY,basin of the beas river,1
its north-eastern boundary,BEGINNING,where this river comes out of the kullu valley,1
its southern limit,MARKED,the ranges of the siwaliks,1
most of its northern boundary,FORMED,the peaks of the dhauladhar range,1
the territory of mandi,CAN BE DIVIDED,three broad zones based on ecological criteria,1
this region,IS AGRICULTURALLY THE RICHEST PART,of the state since the low altitudes of the beas valley enable two harvests in almost all parts,1
this region,ENABLE TWO HARVESTS,in almost all parts,1
its inhabitants,TO ENTER INTO,other non-agricultural activities with profit,1
sarkaghat,LIES,in the southwest of the state,1
saraj,LAYS,in the north-eastern corner of mandi and in the british territory of kullu,1
pastoralism,FORMED AN IMPORTANT PART,of the local economy,1
"salt, iron and trade",FORMED IMPORTANT ASPECTS,of the mandi state's economy,1
the salt mines at gumma and drang,PRODUCED ROCK SALT,"which was exported to kangra, kullu and eastwards to the sutlej and tons valleys",1
mandi,EMERGED OUT OF,the partition of suket,1
it,CONSOLIDATED ITSELF,"in the fifteenth and sixteenth centuries when its territorial limits stabilised and it emerged as a bigger, richer and more strategically placed hill state than suket",1
mandi,BECAME AN IMPORTANT CENTRE,for their control of the beas valley,1
its ruler,LED TO HIS ARREST AND DEPORTATION,to lahore for quite some years,1
mandi durbar,ESTABLISHED COMMUNICATIONS,british political agents,1
mandi raja,GRANTED SANAD,the british crown,1
raja of mundi,CONFIRMED CLAIM TO THRONE,the british government,1
wazeer,LOOKED AFTER ADMINISTRATION,the state,1
ahlkars,WORKED UNDER,wazeer,1
sikhs,TOOK TRIBUTE,two lakh fifty thousand rupees every year,1
british government,TOOK TRIBUTE,one lakh 'company' rupees every year,1
raja balbir sen,"DIED, LEAVING MINOR HEIR",tika,1
becoming india,FAILED,since the british,1
wazeer goshaon,MADE HEAD OF,regency council,1
purohit,DISMISSED FROM,charge of educating tika,1
mr. clarke,APPOINTED AS,raja's tutor,1
tika,INVESTED WITH FULL POWERS AS,raja bijai sen,1
goshaon,RETAINED AS,councillor to the raja,1
clarke,BECAME,raja's man,1
clarke and mian bhag singh,FORMED A COMMITTEE TO CONSIDER,whether the raja should accept orders of commissioner or subservient only to supreme government,1
punjab government,TOOK SERIOUS EXCEPTION TO THIS,and after series of enquiries and correspondence...,1
mr. clarke,REMOVED AND APPOINTED AN OFFICIAL,of bengal civil service,1
state's administration,REFORMED BY,'removing the bengali baboos'...,1
raja,REMAINED LEGAL RULER BUT POWER WAS VESTED WITH,mr.,1
british government,FELT THAT SALE OF 'UNTAXED' MANDI SALT...,was leading to loss of revenue,1
mandi,PAID A VERY HIGH TRIBUTE TO,the british,1
financial commissioner of punjab,SENT HIS MEN TO TAKE CHARGE OF,the salt mines at gumma and drang,1
the british councillor,ABUSE,'angrez lok' and 'angrez raj',1
the british councillor,INSULT,the raja,1
servants of the british officer,BEAT UP,a crowd,1
servants of the british officer,TAKE PRISONER,the crowd,1
"harrison, the councillor",SEND WORD TO,the raja,1
the raja,CONTROL,a situation,1
mr.,DISPERSE,a crowd,1
british authorities at jullundhar and lahore,ALARM,the act of gross indiscipline and insult to the representative of the government,1
the people of mandi,IDENTIFY,the new councillor with the imposition of the new salt rules,1
villagers,SUFFER,due to the inability to buy salt at the new rates,1
harrison,FELT,reputation,1
raja,FEAR,possibility,1
mandi,DESCRIPTION,event,1
lahore,IMPRESSION,disturbances,1
raja,RESENTMENT,intrusion,1
mr. harrison,DIPLOMACY,new rules,1
councillor,QUESTIONING,suitability,1
administration of the salt mines,REVERTED,raja,1
peasants,CONCERNING,cash payment,1
"foreign department, political branch-a",STATES,unnecessary annoyance,1
officials,PROCEEDINGS,tact and wisdom,1
harrison,DEPARTED,mandi,1
rebellion,HAPPENED_IN,saraj,1
administration,IMPROVED,nothing,1
peasantry,FELT_DISCONTENT,state's demand,1
buffalo lymph,USED_IN,smallpox vaccines,1
sitala,IDENTIFIED_WITH,smallpox,1
medical reforms,INTRODUCED,dispensaries and schools,1
vaccination,PART_OF,series of measures on medical matters,1
forest rules,IMPLEMENTED,with vigour,1
begar,BECAME_A_BURDEN,saraj peasants,1
cash economy,GREW_IN,other parts of the state,1
paid labour,BECAME_A_POSSIBLE_ADDITION_TO,family income,1
vaccination programme,STOP,immediately,1
discontent,DUE TO,forest rules and severity of begar,1
dumh of 1909 in mandi,UPRISING AGAINST,"corruption and insensitivity of state administration, and changes in forest management and begar services",1
peasants,GATHERED,outside the town,1
peasants,DEMANDED,audience with the king,1
mandi army,NOT STRONG ENOUGH TO RESIST,rebels,1
officials,FLED,neighbouring territories,1
rebels,ARRESTED,officials and put in jail,1
british authorities,ASKED TO HELP,put down the uprising,1
rebels,IMPOSED CHANGE ON,wazeer even after arrival of first british officer,1
revenue collection,INCREASED BY ABOUT 250%,under gurkhas and then sikhs,1
becoming india,COLLECTIONS,'raids',1
peasants,DEMANDS,begar,1
state,SERVICE,one male per family,1
polyandrous family,FUNCTION,rendering one male surplus to the household,1
british period,TREND,partition of land between brothers and revenue assessment based on land and not on family,1
colonial period,CENTRAL ISSUE,peasant agitation in the himalayas,1
forests,PROVIDED,range of resources for the villagers,1
villagers,OPPOSED,liquidation of the king's wealth by his corrupt officials,1
peasants,RIGHTS,forests,1
british and peasants,REQUIREMENTS,diverged to a large extent,1
land,SOURCE OF WEALTH,pre-british times,1
land,REMAINED SO,period under study,1
markets,TRANSFORMED INTO CLASS DIFFERENTIATION,traditional proprietary peasants,1
non-cultivating land owners,DEPENDENT ON LABOUR OF,bethus and kolis,1
kolies,EMERGED TO SELL,agricultural produce from the land given under beth tenure,1
methods of 'primitive accumulation',WERE,important,1
zamindar,TO SEE,his title deed (patta),1
officials,RETAIN,the deed,1
revenue officials,MISREPRESENTATION OF FACTS FOR,collection of state dues,1
state officials,OVERWHELMINGLY,consisted of khatris,1
peasants,DEEPLY DISLIKED BY,the cause for almost all the oppression and corruption in the state,1
raja bhawani sen,APPOINTED,a new wazeer,1
peasants,DID NOT CONSIDER THESE DUMHS AS REBELLIONS BUT RATHER,reforming movements,1
the king,PRESIDED OVER,the inauguration of the new dispensation,1
this restructuring,ROSE,space for the growth and nurturing of new ideas,1
new ideas,CAME ALONG WITH,the opening of the roads and other communication channels,1
natural resources,BECAME,'precious' to the state,1
cash collection of revenue or rent,LED TO,a decrease in the production of millets and pulses,1
wheat,SUBSTITUTION OF,millets,1
kanet,STRENGTH,peasants,1
king,POWER,intervene,1
sidhu ram,INVOLVED,agrarian disturbances,1
ghadder revolutionaries,LINKED TO,mandi conspiracy case,1
praja mandal agitation,INVOLVES,rebellion,1
khatris,OPPRESSOR,proprietary peasants kanet,1
dhami rebellion,EXPRESSION OF ANGER,khatri landlords,1
bara thakurai,CONFIRMED UNDER,british paramountcy,1
sutlej river,DRAINAGE,dhami,1
gumbher river,DRAINAGE,yamuna drainage system,1
halog,CAPITAL,dhami,1
simla,SUMMER CAPITAL,british,1
chaman lal malhotra,PROVIDED INFORMATION,gazetteer of the simla hill states,1
mahr,ASSISTED IN OFFICIAL BUSINESS,pargana,1
negi,MAINTAINED LAW AND ORDER,pargana,1
25 koli families,HELD REVENUE FREE LAND,working as policemen and shikar helpers,1
dhami state praja mandal,FORMED,a meeting,1
meeting,ADOPTED,a charter of demands,1
charter of demands,LISTED,installation of an elected government,1
charter of demands,LISTED,50% remission of land revenue,1
charter of demands,LISTED,abolition of begar,1
charter of demands,LISTED,civil liberties and free speech,1
dhami state praja mandal,CALLED,the raja to recognise it as the true representative of the people,1
raja,RECOGNISE,dhami state praja mandal as the true representative of the people,1
praja mandal leaders,GO,to the dhami durbar led by bhag mal sautha,1
praja mandal activists,LED,mass delegation of the praja mandal,1
bhag mal sautha,LED,mass delegation of the praja mandal,1
thakur of the state,PROMISE,popularly elected reform committee,1
british officials,ADVISED,the rana to keep his calm and meet the delegation with its demands,1
bhag mal sautha,ENTER,dhami,1
state police,ARREST,bhag mal sautha,1
praja mandalists,DISPERSE,police,1
durga and rup ram,KILL,gunshot wounds,1
"sautha, mansha ram, and dharam dass",ARREST,prison in halog,1
burnett,REACH,dhami,1
jutogh cantonment,FIND,15 persons with serious bullet injuries,1
sautha and other arrested praja mandal leaders,HOLD HUNGER STRIKE,jail,1
rana,STOP,hukka-pani for praja mandal sympathisers,1
tribune,REPORT,events in dhami,1
simla city congress committee,ORGANISE,public meeting,1
british authorities,DEMAND JUSTICE,from the british authorities,1
mahatma gandhi,EXPRESS SYMPATHY,demands of the praja mandal,1
gandhi,HEARD,them out,1
gandhi,DIRECTED,meet jawaharlal nehru,1
jawaharlal nehru,WAS THE PRESIDENT OF,all india states' peoples' conference,1
gandhi,WROTE,on the dhami firings and related issues in harijan,1
gandhi,DEMANDED A JUDICIAL ENQUIRY INTO ALL THE EVENTS THAT WENT TO MAKE THE 'DHAMI TRAGEDY',rana of dhami,1
delegation from the hills,MET,nehru in allahabad,1
all india states' peoples' conference,PROMISED UNSTINTED SUPPORT TO,struggles of the simla peasantry,1
many in british parliament,HAD PERSONAL CONTACT WITH,hill state and its ruler,1
rana,APPOINTED AN ENQUIRY COMMITTEE COMPOSED OF EIGHT 'RESPECTABLE' SUBJECTS OF THE STATE,none,1
himalaya riyasati praja mandal,FORMED,enquiry committee,1
lala duni chand ambalvi,PRESIDENT,aicc,1
sridev suman,SECRETARY,"parvatia praja parishad, delhi and hill states' peoples'",1
rana dalip singh of dhami,APPOINTED,enquiry committee,1
lala kishori lal,MEMBER,simla arya samaj,1
lala sham lal,MEMBER,simla city congress committee,1
peasants of dhami,RECORDED STATEMENTS,enquiry committee,1
30 witnesses,RECORDED SEPARATELY,statements,1
200 subjects of dhami,JOINT STATEMENT,more than 200 subjects of dhami,1
ordinary grievances,RELATED TO,excessive land revenue,1
extra-ordinary grievances,RELATED TO,denial of civil liberties,1
state subjects,DEMANDED,excessive land revenue,1
peasants,DENIED,civil liberties,1
viceroy and other high british officials,ORGANISED,hunting expeditions,1
rana,CHERISHED,shikar trips of the viceroy,1
extra-ordinary grievances,CONCERNED,acts of the dhami state and its officials,1
dhami state and its officials,FORCIBLE EXACTIONS,many kinds,1
peasants,STATED,earlier property was inherited,1
rana,CHANGED,three degrees of relation,1
women subjects,BANNED FROM WEARING ORNAMENTS,for one year,1
agent of the state or policeman,COULD ENTER,any peasant's house,1
viceroy,GAVE,rs 800 to the state subjects,1
committee,HIGHLIGHTED,these grievances of the dhami subjects,1
dhami subjects,DEMANDED,elected responsible government,1
committee,CRITICISED,conduct of the dhami authorities and the rana,1
british administration,GAVE WRONG ADVICE TO THE RANA,initially,1
committee,RECOMMENDED,depriving the rana of executive and juridical powers,1
all india states’ peoples’ congress standing committee,APPOINTED SHANTI DHAWAN FOR CONDUCTING A GENERAL ENQUIRY,into the administration and political conditions in all the simla hill states,1
the himalayan riyasati praja mandal,PRINTED,handbills,1
the himalayan riyasati praja mandal,DISTRIBUTED,propaganda material,1
simla,ORGANISED,meetings,1
dhami residents and recent ‘political exiles’,LIVED,in simla,1
peasants,SUPPORTED,the rana,1
the state,ATTEMPTED TO GET THE SUPPORT OF,peasants in all seven parganas,1
villagers,TOOK AN OATH ON THE LOCAL DEITY,not to co-operate with the state or its agents,1
the entire village or clan,STOPPED,hukka pani,1
individual members,BROKE AWAY EVEN UNDER REPRESSION AND INTENSE PRESSURE FROM THE RANA,since breaking the oath taken in the group made it close to impossible for individual members to break away,1
the rana,INITIALLY,combat the mobilisations of the dhami state praja mandal,1
villagers in a group,TOOK AN OATH ON THE LOCAL DEITY,not to co-operate with the state or its agents,1
the individual,WAS PROHIBITED,"from eating, drinking, smoking, marriage, commercial transactions, community assistance and even walking over the fields of other members of his community",1
sita ram sharma,REFUSE,perform religious ceremonies,1
bhadraya,BE,prominent rebel,1
parma nand,BE,prominent rebel,1
khash-kanets,BE,main activists,1
landless agricultural labourers,BELONG,dagi-koli castes,1
bethus,REFUSE,supply grass and fuel wood,1
rana's household,RECEIVE,grass and fuel wood,1
people,TAKE,oaths on their village and clan deity,1
"political agent, punjab hill states",NOTE,d.o. 16-sm/39,1
21 bethus,PART,250 and more state subjects who fled,1
grass sellers of pargana bari,CARRY,messages between the residents of dhami and those activists of the praja mandal,1
activists in dhami,HAVE,live contact with activists in simla,1
gandhi,BE,invincible,1
women,BE,encouraged to come out openly into praja mandal activities,1
state officials,SEE,break small laws in the presence of state officials,1
rana,SEND,police inspector with five policemen to seon pargana,1
narainu,THREATEN,use his gun,1
police party,BE SURROUNDED BY,mass of peasants,1
policemen,NOT TAKE ACTION,surrounding peasants,1
rana,SEND REINFORCEMENTS,policemen,1
shiv ram and badlu,BE ARRESTED,state authorities,1
narainu,ESCAPE,state authorities,1
badlu,APOLOGISE TO,rana,1
shiv ram,REFUSE TO APOLOGISE,rana,1
dhami state praja mandal,CALL OFF AGITATION,upon meeting with rana,1
rana,REFUSE TO MEET,delegation from dhami state praja mandal,1
rana,REFUSE TO GIVE RECOGNITION,dhami state praja mandal,1
assistant political agent,GIVE ADVICE,rana,1
political agent's office,CORRESPOND WITH,rana,1
rana,CLAIM POPULAR SUPPORT FOR DHAMI STATE PRAJA MANDAL IS WANING,none,1
rana,WANT RINGLEADERS OF AGITATION ARRESTED,dhami state praja mandal,1
political agent,ENQUIRE WHETHER RANA IS COMPETENT TO RELEASE PEOPLE FROM DIVINE OATH,rana,1
rana,REPLY THAT HE TOO HAS THEOCRATIC POWERS,none,1
resident of punjab hill states,SUPPORT POLITICAL AGENT'S POLICY,none,1
rana,ANNOUNCE CONCESSIONS REGARDING DEMANDS OF PEOPLE,none,1
peasants,BE ALLOWED TO KILL GHORLS AND KAKKARS,state forests,1
rana,PROMISED,payment,1
dhami state praja mandal,REJECTED,concessions,1
peasants,REFUSED,revenue,1
state officials,REFUSED,begar,1
rana,EXCLAIMED,divine oath,1
state subjects,REFUSING,revenue payments,1
rulers,BECAME,secular administrators,1
clan institutions,INCREASED CONTROL OVER,peasant's moral economy,1
rana,REPEATEDLY EXPRESSED,helplessness,1
british authorities,INTERVENED,police reinforcements,1
assistant ramsay,ACCOMPANIED,contingent of policemen,1
25 policemen,OCCUPIED,two main rebel villages,1
activists,ABSCONDED,from their homes,1
property,ATTACHED,of absconders,1
women,NOT ALLOWED TO LEAVE,village boundaries,1
praja mandal activists,DISMISSED,jobs,1
seon pargana,HAD PAID,revenue,1
sita ram,ARRESTED,simla,1
sita ram,GAVE AN UNDERTAKING,refrain from all further activity in political matters,1
absconders of seon pargana,SURRENDERED,state authorities,1
jawarharlal nehru,PROTESTED,repression of the dhami peasantry,1
dhami peasantry,CAUSED,unrest,1
state,ESTIMATED,payment defaults and costs of pacification,1
peasants of seon pargana,RECOVERED FROM,rs 7000 as costs for the maintenance of law and order,1
koti,BOUNDED,simla town,1
state officials and the rana,INCREASED SCOPE FOR FRAUD AND EMBEZZLEMENT BY,new taxes and unclear status of begar commutation,1
peasants,AGITATED FOR,proper land revenue settlement conducted by non-state officials,1
individual peasants,CONSIDERABLY REDUCED,revenue demand,1
rana,FRICITION,subjects,1
british,COMPLAINTS,received by,1
bethus,AGITATION,mass agitation of the landless agricultural labourers,1
koli landless labourers,AUTONOMOUS ACTION,public action,1
landless agricultural labourers,INTEGRAL PART,rural economy of the western himalayas,1
begar levies,IMPOSED ON,them,1
khash-kanet peasants,RELIEVE THEMSELVES,by paying commutation fees,1
bethus,GIVEN A SMALL PLOT,to cultivate for their own subsistence,1
royal fields and homes,DEMANDS ON LABOUR,made on the royal fields and homes,1
masters,NEEDS OF THEIR MASTERS,attend to any of the needs,1
bethus,CLASSIFIED_AS,tenants-at-will,1
khash-kanet peasants,CLASSIFIED_AS,occupancy tenants,1
bethus,EVICTED_FROM,land they cultivated for their subsistence,1
khash-kanet peasants,EVICTED_FROM,land they had recently acquired,1
bethus,DENIED_ACCESS_TO,loans on their land,1
bethus,DENIED_ACCESS_TO,alienation of their land,1
koti bethus,CULTIVATED_LAND,6000 bighas,1
bethus,HELD_LAND_PER_CAPITA,10 cultivated bighas,1
koti bethus,SOLD_PRODUCTS_TO,simla market,1
bethus,EARNED_INCOME,rs 800 per year,1
bethus,MOVED UP ON THE ECONOMIC SCALE,emerged,1
bethus of koti,STRUCK WORK,22 out of 26 basas,1
beth-begar labour,WAS FORCED TO PROVIDE,the bethus,1
land revenue,SHOULD BE ALLOWED TO PAY,the bethus,1
bethus,REFUSED TO GIVE MORE THAN FOUR HOURS LABOUR,on the basa,1
wajib-ul-arz,WAS DRAWN UP,during the land settlement,1
state officials,REFUSED TO ACCEPT,the demand of paying land revenue,1
himalayan riyasati praja mandal,GAVE ADVICE,to send land revenue 'dues',1
bethus of pajoy basa,DECLARED TO RAMSAY,"‘hukam sunya gaya tha ke beth-begar band hai, congress ka hukam tha’",1
bethu activists,WERE IDENTIFIED AS,"koli punno, kolis durga, dillu and laksonu",1
british and state officials,REJECTED OUTRIGHT THE DEMANDS OF,the bethus,1
dagi-koli bethus,TAKE OATH ON,deities,1
pujaris and purohits of the rana,CONTROL OVER,deities,1
koti bethus,PROVIDE SERVICES TO,rana's basa,1
bethus,CULTIVATE,rana's basa,1
bethus,CARRY AND DISPOSE OF,produce,1
bethus,COLLECT AND CARRY,"10,000 maunds of wood annually",1
bethus,COLLECT AND CARRY,"6,000 maunds of grass annually",1
koti state,REQUIRE DAILY ATTENDANCE OF,293 begaris,1
khash-kanet peasants,PAY COMMUTATION FEE TO,begar,1
bethus,PAY CESSES TO,rana's elephant,1
bethus,PAY RENT ON LAND FOR SUBSISTENCE TO,rana,1
rana,DEMAND AND RECEIVE RENT FROM,"3,500 bighas of land cultivated by bethus",1
beths,INTEGRATE WITH MARKET AND LOOSEN ECONOMIC DEPENDENCE ON MASTER,none,1
koti bethus,DEMAND INCLUSION IN ROLLS OF OCCUPANCY TENANTS FROM,rana,1
state authorities,SUBDUE REBELLION OF KOTI BETHUS WITH THE HELP OF BRITISH,none,1
bethus,GIVING,levies,1
basa of the rana,WORKING ON,none,1
rana,OWNING LAND AND HOUSE,bethus,1
bethus,COMING OUT IN OPEN DEFIANCE OF,authority of the state,1
dagi-koli communities,BELONGING TO,western himalayas,1
praja mandal leadership,SUPPORTING,bethus,1
british officialdom,RAISING DEMANDS FOR AN END TO,beth tenure,1
dagi-koli bethus,DIFFERENTIATED FROM,mass of the khash-kanet peasantry,1
khash-kanet peasantry,DECLINING INTO LANDLESSNESS AND BETH TENURE,none,1
dagi-koli peasants,BEING DEPENDENT ON THE MARKET FOR SUSTAINING THEIR POSITION,none,1
khash-kanets,POPULATION_OF,artisans,1
menial workers,POPULATION_OF,landless agricultural workers,1
ruling families,DEPENDENT_ON,peasant communities,1
khash-kanets,ORIGINATED_FROM,pre-khash tribes,1
khash-kanets,DEFEATED_BY,khash,1
orthodox priests,NOT_STICT_ABOUT,caste practices,1
khash-kanets,DID_NOT_FOLLOW,"rules for birth, marriage and death ceremonies",1
divinities,HAD_NO_CLEAR_GENEALOGICAL_LINK_TO,hindu pantheon,1
khash-kanet,MERGED_INTO,mass of peasant cultivators,1
orthodox hindu populations,CONTROLLED,hill states,1
khash-kanet,HAD_CONTROL_OVER,land and resources,1
king or his patron deity,ACCEPTED_AS_PRIMARY_DIVINITY_OF,population of the state,1
hill states,CONTROL,productive resources,1
hill states,DOMINATION,clans,1
british government,POWER,hill states,1
"raja, rana or thakur of the hill states",BUFFETED,clan institutions like the khumri and clan deity,1
khumri,AUTHORITY,clan deity,1
clan institutions,FUNCTION,collective voice of the clan or lineage,1
traditional bodies of political organisation,RENDERED OBSOLETE AND ILLEGITIMATE,"land settlements, forest settlements, extension of punjab customary law, and other legal codes instituted by the british",1
